matchup,game_id,red_agent,yellow_agent,winner_value,winner_name,illegal_by,red_time,yellow_time,turns
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,18,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.624375343322754,6.275618076324463,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,19,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6141328811645508,6.296794176101685,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,20,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6318116188049316,6.290169715881348,35
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,1,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.118818283081055,4.4220592975616455,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,2,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.07056212425232,4.354889392852783,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,3,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.098985195159912,4.3601038455963135,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,4,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.096370220184326,4.35490870475769,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,5,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,7.993222713470459,4.306858539581299,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,6,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,7.94078254699707,4.317812204360962,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,7,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.06056833267212,4.582208871841431,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,8,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.136677503585815,4.362159013748169,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,9,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.251916408538818,4.412991762161255,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,10,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.160989761352539,4.497992038726807,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,11,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.320773839950562,4.499441385269165,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,12,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.046572208404541,4.416327714920044,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,13,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.095674514770508,4.3343729972839355,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,14,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.033453702926636,4.3728227615356445,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,15,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,7.983730316162109,4.328049898147583,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,16,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.059061050415039,4.347009181976318,36
